,ticker,date,window_time,best_bid,best_bidsizeshares,best_ask,best_asksizeshares,time_of_last_quote,mid_equity_price
2,F,2025-07-17,2025-07-17 12:00:00-04:00,11.16,28800,11.17,23700,2025-07-17 11:59:59.509373933-04:00,11.165
3,F,2025-07-17,2025-07-17 13:00:00-04:00,11.15,37600,11.16,18000,2025-07-17 12:59:59.991323913-04:00,11.155000000000001
4,F,2025-07-17,2025-07-17 14:00:00-04:00,11.13,13000,11.14,36400,2025-07-17 13:59:59.750193835-04:00,11.135000000000002
5,F,2025-07-17,2025-07-17 15:00:00-04:00,11.17,33900,11.18,40000,2025-07-17 14:59:59.781923919-04:00,11.175
6,F,2025-07-17,2025-07-17 16:00:00-04:00,11.16,73500,11.17,75200,2025-07-17 15:59:59.997321297-04:00,11.165
0,F,2025-07-18,2025-07-18 10:00:00-04:00,11.19,7100,11.2,2600,2025-07-18 09:59:59.803345972-04:00,11.195
1,F,2025-07-18,2025-07-18 11:00:00-04:00,11.13,19300,11.14,22500,2025-07-18 10:59:54.853901744-04:00,11.135000000000002
2,F,2025-07-18,2025-07-18 12:00:00-04:00,11.09,22000,11.1,85500,2025-07-18 11:59:59.709592047-04:00,11.094999999999999
3,F,2025-07-18,2025-07-18 13:00:00-04:00,11.06,11100,11.07,49900,2025-07-18 12:59:57.551958596-04:00,11.065000000000001
4,F,2025-07-18,2025-07-18 14:00:00-04:00,11.12,38700,11.13,53300,2025-07-18 13:59:59.920709306-04:00,11.125
5,F,2025-07-18,2025-07-18 15:00:00-04:00,11.14,16200,11.15,44300,2025-07-18 14:59:59.598153121-04:00,11.145
6,F,2025-07-18,2025-07-18 16:00:00-04:00,11.15,279400,11.16,123500,2025-07-18 15:59:59.999410347-04:00,11.155000000000001
0,F,2025-07-21,2025-07-21 10:00:00-04:00,11.35,9600,11.36,10500,2025-07-21 09:59:59.578696421-04:00,11.355
1,F,2025-07-21,2025-07-21 11:00:00-04:00,11.39,15300,11.4,36900,2025-07-21 10:59:59.829897988-04:00,11.395
2,F,2025-07-21,2025-07-21 12:00:00-04:00,11.38,36600,11.39,25600,2025-07-21 11:59:57.919804035-04:00,11.385000000000002
3,F,2025-07-21,2025-07-21 13:00:00-04:00,11.36,17900,11.37,65800,2025-07-21 12:59:59.167015887-04:00,11.364999999999998
4,F,2025-07-21,2025-07-21 14:00:00-04:00,11.33,73900,11.34,18200,2025-07-21 13:59:58.419958449-04:00,11.335
5,F,2025-07-21,2025-07-21 15:00:00-04:00,11.37,49100,11.38,62900,2025-07-21 14:59:56.257287103-04:00,11.375
